segment_id,heavy,car,v85,coordinates,timestamp,latitude,longitude,altitude,sensor_type,distance_km,current.last_updated,current.temp_c,current.uv,current.gust_kph,current.air_quality.co,current.air_quality.no2,current.air_quality.o3,current.air_quality.so2,current.air_quality.pm2_5,current.air_quality.pm10,current.air_quality.us-epa-index,current.air_quality.gb-defra-index,p1,p2
9000000752,3.7928609108,198.7853109144,25.5,"[[[4.3523899959, 50.8706412025], [4.3529607959, 50.8708695025]]]",2023-11-20 13:00:00,50.872,4.332,38.4,"{'id': 9, 'name': 'DHT22', 'manufacturer': 'various'}",1.4387446624,2023-11-20 13:45,11.0,2.0,28.5,243.7,6.6,71.5,1.0,0.9,1.0,1,1,81.14,21.44
9000000752,3.7928609108,198.7853109144,25.5,"[[[4.3523899959, 50.8706412025], [4.3529607959, 50.8708695025]]]",2023-11-20 13:00:00,50.866,4.332,40.9,"{'id': 9, 'name': 'DHT22', 'manufacturer': 'various'}",1.521104137,2023-11-20 13:45,11.0,2.0,28.5,243.7,6.6,71.5,1.0,0.9,1.0,1,1,99.90,11.48
9000000787,4.3693292959,5.8280002845,54.5,"[[[4.7076991958, 50.9302172025], [4.7075749958, 50.9301303025], [4.7072153958000005, 50.9299352025], [4.7070366958, 50.9297605025], [4.7065964958, 50.9292873025], [4.7062766958, 50.9288069025]]]",2023-11-20 13:00:00,50.948,4.7059999999999995,12.9,"{'id': 14, 'name': 'SDS011', 'manufacturer': 'Nova Fitness'}",1.9809380797,2023-11-20 13:45,11.0,3.0,29.5,250.3,9.5,68.0,1.5,0.9,1.1,1,1,1999.90,999.90
9000000787,4.3693292959,5.8280002845,54.5,"[[[4.7076991958, 50.9302172025], [4.7075749958, 50.9301303025], [4.7072153958000005, 50.9299352025], [4.7070366958, 50.9297605025], [4.7065964958, 50.9292873025], [4.7062766958, 50.9288069025]]]",2023-11-20 13:00:00,50.918,4.688,21.4,"{'id': 14, 'name': 'SDS011', 'manufacturer': 'Nova Fitness'}",1.9369989447,2023-11-20 13:45,11.0,3.0,29.5,250.3,9.5,68.0,1.5,0.9,1.1,1,1,0.77,0.77
9000000797,0.0,45.0236128804,55.0,"[[[5.3225419957, 50.9269055026], [5.3209210957, 50.9273391026], [5.3206278957, 50.9275635026]]]",2023-11-20 13:00:00,50.93,5.344,41.6,"{'id': 9, 'name': 'DHT22', 'manufacturer': 'various'}",1.5427485572,2023-11-20 13:45,11.0,3.0,34.8,233.7,5.8,70.1,0.8,0.6,0.8,1,1,99.90,11.69
9000000797,0.0,45.0236128804,55.0,"[[[5.3225419957, 50.9269055026], [5.3209210957, 50.9273391026], [5.3206278957, 50.9275635026]]]",2023-11-20 13:00:00,50.93,5.344,41.6,"{'id': 14, 'name': 'SDS011', 'manufacturer': 'Nova Fitness'}",1.5427485572,2023-11-20 13:45,11.0,3.0,34.8,233.7,5.8,70.1,0.8,0.6,0.8,1,1,11.70,2.64
9000000787,4.3693292959,5.8280002845,54.5,"[[[4.7076991958, 50.9302172025], [4.7075749958, 50.9301303025], [4.7072153958000005, 50.9299352025], [4.7070366958, 50.9297605025], [4.7065964958, 50.9292873025], [4.7062766958, 50.9288069025]]]",2023-11-20 13:00:00,50.948,4.7059999999999995,12.9,"{'id': 9, 'name': 'DHT22', 'manufacturer': 'various'}",1.9809380797,2023-11-20 13:45,11.0,3.0,29.5,250.3,9.5,68.0,1.5,0.9,1.1,1,1,99.90,13.32
9000000752,3.7928609108,198.7853109144,25.5,"[[[4.3523899959, 50.8706412025], [4.3529607959, 50.8708695025]]]",2023-11-20 13:00:00,50.88,4.35,24.3,"{'id': 9, 'name': 'DHT22', 'manufacturer': 'various'}",1.054075651,2023-11-20 13:45,11.0,2.0,28.5,243.7,6.6,71.5,1.0,0.9,1.0,1,1,99.90,12.25
9000000787,4.3693292959,5.8280002845,54.5,"[[[4.7076991958, 50.9302172025], [4.7075749958, 50.9301303025], [4.7072153958000005, 50.9299352025], [4.7070366958, 50.9297605025], [4.7065964958, 50.9292873025], [4.7062766958, 50.9288069025]]]",2023-11-20 13:00:00,50.918,4.688,21.4,"{'id': 9, 'name': 'DHT22', 'manufacturer': 'various'}",1.9369989447,2023-11-20 13:45,11.0,3.0,29.5,250.3,9.5,68.0,1.5,0.9,1.1,1,1,99.90,11.13
9000000797,0.0,45.0236128804,55.0,"[[[5.3225419957, 50.9269055026], [5.3209210957, 50.9273391026], [5.3206278957, 50.9275635026]]]",2023-11-20 13:00:00,50.93,5.334,39.3,"{'id': 9, 'name': 'DHT22', 'manufacturer': 'various'}",0.8736505056,2023-11-20 13:45,11.0,3.0,34.8,233.7,5.8,70.1,0.8,0.6,0.8,1,1,71.24,22.30
