,segment_id,heavy,car,v85,coordinates,timestamp,latitude,longitude,altitude,sensor_type,distance_km,current.last_updated,current.temp_c,current.uv,current.gust_kph,current.air_quality.co,current.air_quality.no2,current.air_quality.o3,current.air_quality.so2,current.air_quality.pm2_5,current.air_quality.pm10,current.air_quality.us-epa-index,current.air_quality.gb-defra-index,p1,p2,id
12,9000000797,0.0,45.0236128804,55.0,"[[[5.3225419957, 50.9269055026], [5.3209210957, 50.9273391026], [5.3206278957, 50.9275635026]]]",2023-11-20 13:00:00,50.936,5.334,35.6,"{'id': 9, 'name': 'DHT22', 'manufacturer': 'various'}",1.2912912942,2023-11-20 13:45,11.0,3.0,34.8,233.7,5.8,70.1,0.8,0.6,0.8,1,1,99.9,12.57,92fcf031-1d21-44af-95c6-eeee4638585b
13,9000000797,0.0,45.0236128804,55.0,"[[[5.3225419957, 50.9269055026], [5.3209210957, 50.9273391026], [5.3206278957, 50.9275635026]]]",2023-11-20 13:00:00,50.926,5.332,40.4,"{'id': 9, 'name': 'DHT22', 'manufacturer': 'various'}",0.6704967002000001,2023-11-20 13:45,11.0,3.0,34.8,233.7,5.8,70.1,0.8,0.6,0.8,1,1,99.9,14.04,f979347c-0c12-4ea6-a329-8f150fa9b943
14,9000000797,0.0,45.0236128804,55.0,"[[[5.3225419957, 50.9269055026], [5.3209210957, 50.9273391026], [5.3206278957, 50.9275635026]]]",2023-11-20 13:00:00,50.924,5.32,45.6,"{'id': 9, 'name': 'DHT22', 'manufacturer': 'various'}",0.368947823,2023-11-20 13:45,11.0,3.0,34.8,233.7,5.8,70.1,0.8,0.6,0.8,1,1,99.9,12.49,07f1d704-d36a-4f9c-8b1e-39052868afd0
15,9000000797,0.0,45.0236128804,55.0,"[[[5.3225419957, 50.9269055026], [5.3209210957, 50.9273391026], [5.3206278957, 50.9275635026]]]",2023-11-20 13:00:00,50.932,5.318,38.9,"{'id': 9, 'name': 'DHT22', 'manufacturer': 'various'}",0.6497917747,2023-11-20 13:45,11.0,3.0,34.8,233.7,5.8,70.1,0.8,0.6,0.8,1,1,1.4,12.46,723e4598-18a0-4a2c-b588-57f7215958ce
16,9000000797,0.0,45.0236128804,55.0,"[[[5.3225419957, 50.9269055026], [5.3209210957, 50.9273391026], [5.3206278957, 50.9275635026]]]",2023-11-20 13:00:00,50.926,5.34,39.5,"{'id': 9, 'name': 'DHT22', 'manufacturer': 'various'}",1.227734076,2023-11-20 13:45,11.0,3.0,34.8,233.7,5.8,70.1,0.8,0.6,0.8,1,1,82.58,12.16,47770982-17db-4ae3-99e6-220fbef6a694
17,9000000797,0.0,45.0236128804,55.0,"[[[5.3225419957, 50.9269055026], [5.3209210957, 50.9273391026], [5.3206278957, 50.9275635026]]]",2023-11-20 13:00:00,50.924,5.32,45.6,"{'id': 14, 'name': 'SDS011', 'manufacturer': 'Nova Fitness'}",0.368947823,2023-11-20 13:45,11.0,3.0,34.8,233.7,5.8,70.1,0.8,0.6,0.8,1,1,16.63,2.87,73528057-c8f7-49ac-b717-87ffd54f8938
18,9000000797,0.0,45.0236128804,55.0,"[[[5.3225419957, 50.9269055026], [5.3209210957, 50.9273391026], [5.3206278957, 50.9275635026]]]",2023-11-20 13:00:00,50.922,5.346,40.9,"{'id': 9, 'name': 'DHT22', 'manufacturer': 'various'}",1.7323164509,2023-11-20 13:45,11.0,3.0,34.8,233.7,5.8,70.1,0.8,0.6,0.8,1,1,99.9,14.39,d1c62516-5fbc-4e14-a8fd-83f30d98f591
19,9000000797,0.0,45.0236128804,55.0,"[[[5.3225419957, 50.9269055026], [5.3209210957, 50.9273391026], [5.3206278957, 50.9275635026]]]",2023-11-20 13:00:00,50.936,5.334,35.6,"{'id': 14, 'name': 'SDS011', 'manufacturer': 'Nova Fitness'}",1.2912912942,2023-11-20 13:45,11.0,3.0,34.8,233.7,5.8,70.1,0.8,0.6,0.8,1,1,11.18,2.2,3bb6f3dc-c178-46b1-9729-30e545effdc9
20,9000000797,0.0,45.0236128804,55.0,"[[[5.3225419957, 50.9269055026], [5.3209210957, 50.9273391026], [5.3206278957, 50.9275635026]]]",2023-11-20 13:00:00,50.926,5.34,39.5,"{'id': 14, 'name': 'SDS011', 'manufacturer': 'Nova Fitness'}",1.227734076,2023-11-20 13:45,11.0,3.0,34.8,233.7,5.8,70.1,0.8,0.6,0.8,1,1,14.82,2.59,d4e5d9ea-37d5-4e14-b42f-28919b089cfe
21,9000000797,0.0,45.0236128804,55.0,"[[[5.3225419957, 50.9269055026], [5.3209210957, 50.9273391026], [5.3206278957, 50.9275635026]]]",2023-11-20 13:00:00,50.932,5.318,38.9,"{'id': 14, 'name': 'SDS011', 'manufacturer': 'Nova Fitness'}",0.6497917747,2023-11-20 13:45,11.0,3.0,34.8,233.7,5.8,70.1,0.8,0.6,0.8,1,1,1.5,0.23,1e7832e5-e78d-4cd7-b8c9-d630d809e6db
22,9000000797,0.0,45.0236128804,55.0,"[[[5.3225419957, 50.9269055026], [5.3209210957, 50.9273391026], [5.3206278957, 50.9275635026]]]",2023-11-20 13:00:00,50.922,5.346,40.9,"{'id': 14, 'name': 'SDS011', 'manufacturer': 'Nova Fitness'}",1.7323164509,2023-11-20 13:45,11.0,3.0,34.8,233.7,5.8,70.1,0.8,0.6,0.8,1,1,12.03,1.63,6882f4a8-febd-408f-bbda-06552a5442a7
23,9000000797,0.0,45.0236128804,55.0,"[[[5.3225419957, 50.9269055026], [5.3209210957, 50.9273391026], [5.3206278957, 50.9275635026]]]",2023-11-20 13:00:00,50.9357925,5.3284977,34.9,"{'id': 14, 'name': 'SDS011', 'manufacturer': 'Nova Fitness'}",1.0727178916,2023-11-20 13:45,11.0,3.0,34.8,233.7,5.8,70.1,0.8,0.6,0.8,1,1,9.5,1.81,5c7b7d80-0b8b-49a8-9019-89f5cc64676e
24,9000000797,0.0,45.0236128804,55.0,"[[[5.3225419957, 50.9269055026], [5.3209210957, 50.9273391026], [5.3206278957, 50.9275635026]]]",2023-11-20 13:00:00,50.926,5.332,40.4,"{'id': 14, 'name': 'SDS011', 'manufacturer': 'Nova Fitness'}",0.6704967002000001,2023-11-20 13:45,11.0,3.0,34.8,233.7,5.8,70.1,0.8,0.6,0.8,1,1,14.97,2.41,d2e41596-e192-4c16-96ac-ad287c5c21a0
25,9000000797,0.0,45.0236128804,55.0,"[[[5.3225419957, 50.9269055026], [5.3209210957, 50.9273391026], [5.3206278957, 50.9275635026]]]",2023-11-20 13:00:00,50.9410900925,5.3058573604,36.1,"{'id': 14, 'name': 'SDS011', 'manufacturer': 'Nova Fitness'}",1.9633571398,2023-11-20 13:45,11.0,3.0,34.8,233.7,5.8,70.1,0.8,0.6,0.8,1,1,10.02,2.08,9d409c8e-8e82-4f7a-b64e-5979468243f1
26,9000000797,0.0,45.0236128804,55.0,"[[[5.3225419957, 50.9269055026], [5.3209210957, 50.9273391026], [5.3206278957, 50.9275635026]]]",2023-11-20 13:00:00,50.9410900925,5.3058573604,36.1,"{'id': 9, 'name': 'DHT22', 'manufacturer': 'various'}",1.9633571398,2023-11-20 13:45,11.0,3.0,34.8,233.7,5.8,70.1,0.8,0.6,0.8,1,1,99.9,12.88,246efb4d-404f-48b6-915f-7a8d5a9179b7
27,9000000797,0.0,45.0236128804,55.0,"[[[5.3225419957, 50.9269055026], [5.3209210957, 50.9273391026], [5.3206278957, 50.9275635026]]]",2023-11-20 13:00:00,50.916,5.344,49.1,"{'id': 14, 'name': 'SDS011', 'manufacturer': 'Nova Fitness'}",1.9320563242,2023-11-20 13:45,11.0,3.0,34.8,233.7,5.8,70.1,0.8,0.6,0.8,1,1,0.73,0.37,0f805eb9-77ef-43f9-a206-022001f9f9b4
28,9000000797,0.0,45.0236128804,55.0,"[[[5.3225419957, 50.9269055026], [5.3209210957, 50.9273391026], [5.3206278957, 50.9275635026]]]",2023-11-20 13:00:00,50.916,5.344,49.1,"{'id': 9, 'name': 'DHT22', 'manufacturer': 'various'}",1.9320563242,2023-11-20 13:45,11.0,3.0,34.8,233.7,5.8,70.1,0.8,0.6,0.8,1,1,99.9,13.72,82d7ed3c-d8b4-4639-b715-70a158190146
29,9000000797,0.0,45.0236128804,55.0,"[[[5.3225419957, 50.9269055026], [5.3209210957, 50.9273391026], [5.3206278957, 50.9275635026]]]",2023-11-20 13:00:00,50.9150645655,5.3399348259,45.3,"{'id': 14, 'name': 'SDS011', 'manufacturer': 'Nova Fitness'}",1.7944239789,2023-11-20 13:45,11.0,3.0,34.8,233.7,5.8,70.1,0.8,0.6,0.8,1,1,16.87,2.75,ac1d6729-2fa4-484f-b0a7-13ffc1bc756c
